titletext,PMID
"A decision algorithm to promote outpatient antimicrobial stewardship for uncomplicated urinary tract infection.. Antibiotic resistance is a major cause of treatment failure and leads to increased use of broad-spectrum agents, which begets further resistance. This vicious cycle is epitomized by uncomplicated urinary tract infection (UTI), which affects one in two women during their life and is associated with increasing antibiotic resistance and high rates of prescription for broad-spectrum second-line agents. To address this, we developed machine learning models to predict antibiotic susceptibility using electronic health record data and built a decision algorithm for recommending the narrowest possible antibiotic to which a specimen is susceptible. When applied to a test cohort of 3629 patients presenting between 2014 and 2016, the algorithm achieved a 67% reduction in the use of second-line antibiotics relative to clinicians. At the same time, it reduced inappropriate antibiotic therapy, defined as the choice of a treatment to which a specimen is resistant, by 18% relative to clinicians. For specimens where clinicians chose a second-line drug but the algorithm chose a first-line drug, 92% (1066 of 1157) of decisions ended up being susceptible to the first-line drug. When clinicians chose an inappropriate first-line drug, the algorithm chose an appropriate first-line drug 47% (183 of 392) of the time. Our machine learning decision algorithm provides antibiotic stewardship for a common infectious syndrome by maximizing reductions in broad-spectrum antibiotic use while maintaining optimal treatment outcomes. Further work is necessary to improve generalizability by training models in more diverse populations.",33148625
"Predicting the progression of mild cognitive impairment using machinelearning: A systematic, quantitative and critical review.. We performed a systematic review of studies focusing on the automatic prediction of the progression of mild cognitive impairment to Alzheimer's disease (AD) dementia, and a quantitative analysis of the methodological choices impacting performance. This review included 172 articles, from which 234 experiments were extracted. For each of them, we reported the used data set, the feature types, the algorithm type, performance and potential methodological issues. The impact of these characteristics on the performance was evaluated using a multivariate mixed effect linear regressions. We found that using cognitive, fluorodeoxyglucose-positron emission tomography or potentially electroencephalography and magnetoencephalography variables significantly improved predictive performance compared to not including them, whereas including other modalities, in particular T1 magnetic resonance imaging, did not show a significant effect. The good performance of cognitive assessments questions the wide use of imaging for predicting the progression to AD and advocates for exploring further fine domain-specific cognitive assessments. We also identified several methodological issues, including the absence of a test set, or its use for feature selection or parameter tuning in nearly a fourth of the papers. Other issues, found in 15% of the studies, cast doubts on the relevance of the method to clinical practice. We also highlight that short-term predictions are likely not to be better than predicting that subjects stay stable over time. These issues highlight the importance of adhering to good practices for the use of machine learning as a decision support system for the clinical practice.",33091740
"CS(2)-Net: Deep learning segmentation of curvilinear structures in medical imaging.. Automated detection of curvilinear structures, e.g., blood vessels or nerve fibres, from medical and biomedical images is a crucial early step in automatic image interpretation associated to the management of many diseases. Precise measurement of the morphological changes of these curvilinear organ structures informs clinicians for understanding the mechanism, diagnosis, and treatment of e.g. cardiovascular, kidney, eye, lung, and neurological conditions. In this work, we propose a generic and unified convolution neural network for the segmentation of curvilinear structures and illustrate in several 2D/3D medical imaging modalities. We introduce a new curvilinear structure segmentation network (CS2-Net), which includes a self-attention mechanism in the encoder and decoder to learn rich hierarchical representations of curvilinear structures. Two types of attention modules - spatial attention and channel attention - are utilized to enhance the inter-class discrimination and intra-class responsiveness, to further integrate local features with their global dependencies and normalization, adaptively. Furthermore, to facilitate the segmentation of curvilinear structures in medical images, we employ a 1×3 and a 3×1 convolutional kernel to capture boundary features. Besides, we extend the 2D attention mechanism to 3D to enhance the network's ability to aggregate depth information across different layers/slices. The proposed curvilinear structure segmentation network is thoroughly validated using both 2D and 3D images across six different imaging modalities. Experimental results across nine datasets show the proposed method generally outperforms other state-of-the-art algorithms in various metrics.",33166771
"Composite type-2 biomarker strategy versus a symptom-risk-based algorithm to adjust corticosteroid dose in patients with severe asthma: a multicentre, single-blind, parallel group, randomised controlled trial.. Background: Asthma treatment guidelines recommend increasing corticosteroid dose to control symptoms and reduce exacerbations. This approach is potentially flawed because symptomatic asthma can occur without corticosteroid responsive type-2 (T2)-driven eosinophilic inflammation, and inappropriately high-dose corticosteroid treatment might have little therapeutic benefit with increased risk of side-effects. We compared a biomarker strategy to adjust corticosteroid dose using a composite score of T2 biomarkers (fractional exhaled nitric oxide [FENO], blood eosinophils, and serum periostin) with a standardised symptom-risk-based algorithm (control). Methods: We did a single-blind, parallel group, randomised controlled trial in adults (18-80 years of age) with severe asthma (at treatment steps 4 and 5 of the Global Initiative for Asthma) and FENO of less than 45 parts per billion at 12 specialist severe asthma centres across England, Scotland, and Northern Ireland. Patients were randomly assigned (4:1) to either the biomarker strategy group or the control group by an online electronic case-report form, in blocks of ten, stratified by asthma control and use of rescue systemic steroids in the previous year. Patients were masked to study group allocation throughout the entirety of the study. Patients attended clinic every 8 weeks, with treatment adjustment following automated treatment-group-specific algorithms: those in the biomarker strategy group received a default advisory to maintain treatment and those in the control group had their treatment adjusted according to the steps indicated by the trial algorithm. The primary outcome was the proportion of patients with corticosteroid dose reduction at week 48, in the intention-to-treat (ITT) population. Secondary outcomes were inhaled corticosteroid (ICS) dose at the end of the study; cumulative dose of ICS during the study; proportion of patients on maintenance oral corticosteroids (OCS) at study end; rate of protocol-defined severe exacerbations per patient year; time to first severe exacerbation; number of hospital admissions for asthma; changes in lung function, Asthma Control Questionnaire-7 score, Asthma Quality of Life Questionnaire score, and T2 biomarkers from baseline to week 48; and whether patients declined to progress to OCS. A secondary aim of our study was to establish the proportion of patients with severe asthma in whom T2 biomarkers remained low when corticosteroid therapy was decreased to a minimum ICS dose. This study is registered with ClinicalTrials.gov, NCT02717689 and has been completed. Findings: Patients were recruited from Jan 8, 2016, to July 12, 2018. Of 549 patients assessed, 301 patients were included in the ITT population and were randomly assigned to the biomarker strategy group (n=240) or to the control group (n=61). 28·4% of patients in the biomarker strategy group were on a lower corticosteroid dose at week 48 compared with 18·5% of patients in the control group (adjusted odds ratio [aOR] 1·71 [95% CI 0·80-3·63]; p=0·17). In the per-protocol (PP) population (n=121), a significantly greater proportion of patients were on a lower corticosteroid dose at week 48 in the biomarker strategy group (30·7% of patients) compared with the control group (5·0% of patients; aOR 11·48 [95% CI 1·35-97·83]; p=0·026). Patient choice to not follow treatment advice was the principle reason for loss to PP analysis. There was no difference in secondary outcomes between study groups and no loss of asthma control among patients in the biomarker strategy group who reduced their corticosteroid dose. Interpretation: Biomarker-based corticosteroid adjustment did not result in a greater proportion of patients reducing corticosteroid dose versus control. Understanding the reasons for patients not following treatment advice in both treatment strategies is an important area for future research. The prevalence of T2 biomarker-low severe asthma was low. Funding: This study was funded, in part, by the Medical Research Council UK.",32916135
"Deep neural network models for computational histopathology: A survey.. Histopathological images contain rich phenotypic information that can be used to monitor underlying mechanisms contributing to disease progression and patient survival outcomes. Recently, deep learning has become the mainstream methodological choice for analyzing and interpreting histology images. In this paper, we present a comprehensive review of state-of-the-art deep learning approaches that have been used in the context of histopathological image analysis. From the survey of over 130 papers, we review the field's progress based on the methodological aspect of different machine learning strategies such as supervised, weakly supervised, unsupervised, transfer learning and various other sub-variants of these methods. We also provide an overview of deep learning based survival models that are applicable for disease-specific prognosis tasks. Finally, we summarize several existing open datasets and highlight critical challenges and limitations with current deep learning approaches, along with possible avenues for future research.",33049577
"Central reading of ulcerative colitis clinical trial videos using neural networks.. Background and aims: Endoscopic disease activity scoring in ulcerative colitis (UC) is useful in clinical practice but infrequently done. It is required in clinical trials, where it is expensive and slow because human central readers (CR) are needed. A machine learning algorithm (MLA) automating the process could elevate clinical care and facilitate clinical research. Prior work using single-institution databases and endoscopic still images has been promising.  Methods: 795 full-length endoscopy videos (FLEV) were prospectively collected from a phase 2 trial of mirikizumab with 249 patients from 14 countries, totaling 19.5 million image frames. Expert CRs assigned each FLEV one endoscopic Mayo score (eMS) and one UC endoscopic index of severity (UCEIS) score. Initially, video data were cleaned, and abnormality features extracted using convolutional neural networks. Subsequently, a recurrent neural network (RNN) was trained on the features to predict eMS and UCEIS from individual full-length endoscopy videos.  Results: The primary metric to assess the performance of the RNN model was quadratic weighted kappa (QWK) comparing the agreement of the machine-read endoscopy score with the human central reader score. QWK progressively penalizes disagreements that exceed one level. The model's agreement metric was excellent with QWK of 0.844 (95% CI, 0.787-0.901) for eMS and 0.855 (95% CI, 0.80-0.91) for UCEIS.  Conclusion: We found that a deep learning algorithm can be trained to predict levels of ulcerative colitis severity from full-length endoscopy videos. Our data set was prospectively collected in a multinational clinical trial, videos rather than still images were used, UCEIS and eMS were reported, and MLA performance metrics met or exceeded those previously published for UC severity scores.",33098883
"Detection of Pathogenic Variants With Germline Genetic Testing Using DeepLearning vs Standard Methods in Patients With Prostate Cancer and Melanoma.. Importance: Less than 10% of patients with cancer have detectable pathogenic germline alterations, which may be partially due to incomplete pathogenic variant detection.  Objective: To evaluate if deep learning approaches identify more germline pathogenic variants in patients with cancer.  Design, setting, and participants: A cross-sectional study of a standard germline detection method and a deep learning method in 2 convenience cohorts with prostate cancer and melanoma enrolled in the US and Europe between 2010 and 2017. The final date of clinical data collection was December 2017.  Exposures: Germline variant detection using standard or deep learning methods.  Main outcomes and measures: The primary outcomes included pathogenic variant detection performance in 118 cancer-predisposition genes estimated as sensitivity, specificity, positive predictive value (PPV), and negative predictive value (NPV). The secondary outcomes were pathogenic variant detection performance in 59 genes deemed actionable by the American College of Medical Genetics and Genomics (ACMG) and 5197 clinically relevant mendelian genes. True sensitivity and true specificity could not be calculated due to lack of a criterion reference standard, but were estimated as the proportion of true-positive variants and true-negative variants, respectively, identified by each method in a reference variant set that consisted of all variants judged to be valid from either approach.  Results: The prostate cancer cohort included 1072 men (mean [SD] age at diagnosis, 63.7 [7.9] years; 857 [79.9%] with European ancestry) and the melanoma cohort included 1295 patients (mean [SD] age at diagnosis, 59.8 [15.6] years; 488 [37.7%] women; 1060 [81.9%] with European ancestry). The deep learning method identified more patients with pathogenic variants in cancer-predisposition genes than the standard method (prostate cancer: 198 vs 182; melanoma: 93 vs 74); sensitivity (prostate cancer: 94.7% vs 87.1% [difference, 7.6%; 95% CI, 2.2% to 13.1%]; melanoma: 74.4% vs 59.2% [difference, 15.2%; 95% CI, 3.7% to 26.7%]), specificity (prostate cancer: 64.0% vs 36.0% [difference, 28.0%; 95% CI, 1.4% to 54.6%]; melanoma: 63.4% vs 36.6% [difference, 26.8%; 95% CI, 17.6% to 35.9%]), PPV (prostate cancer: 95.7% vs 91.9% [difference, 3.8%; 95% CI, -1.0% to 8.4%]; melanoma: 54.4% vs 35.4% [difference, 19.0%; 95% CI, 9.1% to 28.9%]), and NPV (prostate cancer: 59.3% vs 25.0% [difference, 34.3%; 95% CI, 10.9% to 57.6%]; melanoma: 80.8% vs 60.5% [difference, 20.3%; 95% CI, 10.0% to 30.7%]). For the ACMG genes, the sensitivity of the 2 methods was not significantly different in the prostate cancer cohort (94.9% vs 90.6% [difference, 4.3%; 95% CI, -2.3% to 10.9%]), but the deep learning method had a higher sensitivity in the melanoma cohort (71.6% vs 53.7% [difference, 17.9%; 95% CI, 1.82% to 34.0%]). The deep learning method had higher sensitivity in the mendelian genes (prostate cancer: 99.7% vs 95.1% [difference, 4.6%; 95% CI, 3.0% to 6.3%]; melanoma: 91.7% vs 86.2% [difference, 5.5%; 95% CI, 2.2% to 8.8%]).  Conclusions and relevance: Among a convenience sample of 2 independent cohorts of patients with prostate cancer and melanoma, germline genetic testing using deep learning, compared with the current standard genetic testing method, was associated with higher sensitivity and specificity for detection of pathogenic variants. Further research is needed to understand the relevance of these findings with regard to clinical outcomes.",33201204
"Artificial Intelligence for Intraoperative Guidance: Using Semantic Segmentation to Identify Surgical Anatomy During Laparoscopic Cholecystectomy.. Objective: To develop and evaluate the performance of artificial intelligence (AI) models that can identify safe and dangerous zones of dissection, and anatomical landmarks during laparoscopic cholecystectomy (LC).  Summary background data: Many adverse events during surgery occur due to errors in visual perception and judgment leading to misinterpretation of anatomy. Deep learning, a subfield of AI, can potentially be used to provide real-time guidance intraoperatively.  Methods: Deep learning models were developed and trained to identify safe (Go) and dangerous (No-Go) zones of dissection, liver, gallbladder, and hepatocystic triangle during LC. Annotations were performed by four high-volume surgeons. AI predictions were evaluated using 10-fold cross-validation against annotations by expert surgeons. Primary outcomes were intersection-over-union (IOU) and F1 score (validated spatial correlation indices), and secondary outcomes were pixel-wise accuracy, sensitivity, specificity, ± standard deviation.  Results: AI models were trained on 2627 random frames from 290 LC videos, procured from 37 countries, 136 institutions and 153 surgeons. Mean IOU, F1 score, accuracy, sensitivity, and specificity for the AI to identify Go zones were 0.53 (±0.24), 0.70 (±0.28), 0.94 (±0.05), 0.69 (±0.20) and 0.94 (±0.03) respectively. For No-Go zones, these metrics were 0.71 (±0.29), 0.83 (±0.31), 0.95 (±0.06), 0.80 (±0.21) and 0.98 (±0.05), respectively. Mean IOU for identification of the liver, gallbladder and hepatocystic triangle were: 0.86 (±0.12), 0.72 (±0.19) and 0.65 (±0.22), respectively.  Conclusions: AI can be used to identify anatomy within the surgical field. This technology may eventually be used to provide real-time guidance and minimize the risk of adverse events.",33196488
"Deep Learning for Detecting Cerebral Aneurysms with CT Angiography.. Background Cerebral aneurysm detection is a challenging task. Deep learning may become a supportive tool for more accurate interpretation. Purpose To develop a highly sensitive deep learning-based algorithm that assists in the detection of cerebral aneurysms on CT angiography images. Materials and Methods Head CT angiography images were retrospectively retrieved from two hospital databases acquired across four different scanners between January 2015 and June 2019. The data were divided into training and validation sets; 400 additional independent CT angiograms acquired between July and December 2019 were used for external validation. A deep learning-based algorithm was constructed and assessed. Both internal and external validation were performed. Jackknife alternative free-response receiver operating characteristic analysis was performed. Results A total of 1068 patients (mean age, 57 years ± 11 [standard deviation]; 660 women) were evaluated for a total of 1068 CT angiograms encompassing 1337 cerebral aneurysms. Of these, 534 CT angiograms (688 aneurysms) were assigned to the training set, and the remaining 534 CT angiograms (649 aneurysms) constituted the validation set. The sensitivity of the proposed algorithm for detecting cerebral aneurysms was 97.5% (633 of 649; 95% CI: 96.0, 98.6). Moreover, eight new aneurysms that had been overlooked in the initial reports were detected (1.2%, eight of 649). With the aid of the algorithm, the overall performance of radiologists in terms of area under the weighted alternative free-response receiver operating characteristic curve was higher by 0.01 (95% CI: 0.00, 0.03). Conclusion The proposed deep learning algorithm assisted radiologists in detecting cerebral aneurysms on CT angiography images, resulting in a higher detection rate. ",33141003
"Deep pyramid local attention neural network for cardiac structure segmentation in two-dimensional echocardiography.. Automatic semantic segmentation in 2D echocardiography is vital in clinical practice for assessing various cardiac functions and improving the diagnosis of cardiac diseases. However, two distinct problems have persisted in automatic segmentation in 2D echocardiography, namely the lack of an effective feature enhancement approach for contextual feature capture and lack of label coherence in category prediction for individual pixels. Therefore, in this study, we propose a deep learning model, called deep pyramid local attention neural network (PLANet), to improve the segmentation performance of automatic methods in 2D echocardiography. Specifically, we propose a pyramid local attention module to enhance features by capturing supporting information within compact and sparse neighboring contexts. We also propose a label coherence learning mechanism to promote prediction consistency for pixels and their neighbors by guiding the learning with explicit supervision signals. The proposed PLANet was extensively evaluated on the dataset of cardiac acquisitions for multi-structure ultrasound segmentation (CAMUS) and sub-EchoNet-Dynamic, which are two large-scale and public 2D echocardiography datasets. The experimental results show that PLANet performs better than traditional and deep learning-based segmentation methods on geometrical and clinical metrics. Moreover, PLANet can complete the segmentation of heart structures in 2D echocardiography in real time, indicating a potential to assist cardiologists accurately and efficiently.",33129143
"Validation of a Machine Learning Algorithm to Predict 180-Day Mortality for Outpatients With Cancer.. Importance: Machine learning (ML) algorithms can identify patients with cancer at risk of short-term mortality to inform treatment and advance care planning. However, no ML mortality risk prediction algorithm has been prospectively validated in oncology or compared with routinely used prognostic indices. Objective: To validate an electronic health record-embedded ML algorithm that generated real-time predictions of 180-day mortality risk in a general oncology cohort. Design, setting, and participants: This prognostic study comprised a prospective cohort of patients with outpatient oncology encounters between March 1, 2019, and April 30, 2019. An ML algorithm, trained on retrospective data from a subset of practices, predicted 180-day mortality risk between 4 and 8 days before a patient's encounter. Patient encounters took place in 18 medical or gynecologic oncology practices, including 1 tertiary practice and 17 general oncology practices, within a large US academic health care system. Patients aged 18 years or older with outpatient oncology or hematology and oncology encounters were included in the analysis. Patients were excluded if their appointment was scheduled after weekly predictions were generated and if they were only evaluated in benign hematology, palliative care, or rehabilitation practices. Exposures: Gradient-boosting ML binary classifier. Main outcomes and measures: The primary outcome was the patients' 180-day mortality from the index encounter. The primary performance metric was the area under the receiver operating characteristic curve (AUC). Results: Among 24 582 patients, 1022 (4.2%) died within 180 days of their index encounter. Their median (interquartile range) age was 64.6 (53.6-73.2) years, 15 319 (62.3%) were women, 18 015 (76.0%) were White, and 10 658 (43.4%) were seen in the tertiary practice. The AUC was 0.89 (95% CI, 0.88-0.90) for the full cohort. The AUC varied across disease-specific groups within the tertiary practice (AUC ranging from 0.74 to 0.96) but was similar between the tertiary and general oncology practices. At a prespecified 40% mortality risk threshold used to differentiate high- vs low-risk patients, observed 180-day mortality was 45.2% (95% CI, 41.3%-49.1%) in the high-risk group vs 3.1% (95% CI, 2.9%-3.3%) in the low-risk group. Integrating the algorithm into the Eastern Cooperative Oncology Group and Elixhauser comorbidity index-based classifiers resulted in favorable reclassification (net reclassification index, 0.09 [95% CI, 0.04-0.14] and 0.23 [95% CI, 0.20-0.27], respectively). Conclusions and relevance: In this prognostic study, an ML algorithm was feasibly integrated into the electronic health record to generate real-time, accurate predictions of short-term mortality for patients with cancer and outperformed routinely used prognostic indices. This algorithm may be used to inform behavioral interventions and prompt earlier conversations about goals of care and end-of-life preferences among patients with cancer.",32970131
"Deep-Learning Resources for Studying Glycan-Mediated Host-Microbe Interactions.. Glycans, the most diverse biopolymer, are shaped by evolutionary pressures stemming from host-microbe interactions. Here, we present machine learning and bioinformatics methods to leverage the evolutionary information present in glycans to gain insights into how pathogens and commensals interact with hosts. By using techniques from natural language processing, we develop deep-learning models for glycans that are trained on a curated dataset of 19,299 unique glycans and can be used to study and predict glycan functions. We show that these models can be utilized to predict glycan immunogenicity and the pathogenicity of bacterial strains, as well as investigate glycan-mediated immune evasion via molecular mimicry. We also develop glycan-alignment methods and use these to analyze virulence-determining glycan motifs in the capsular polysaccharides of bacterial pathogens. These resources enable one to identify and study glycan motifs involved in immunogenicity, pathogenicity, molecular mimicry, and immune evasion, expanding our understanding of host-microbe interactions.",33120114
"Artificial Intelligence Applied to Breast MRI for Improved Diagnosis.. Background Recognition of salient MRI morphologic and kinetic features of various malignant tumor subtypes and benign diseases, either visually or with artificial intelligence (AI), allows radiologists to improve diagnoses that may improve patient treatment. Purpose To evaluate whether the diagnostic performance of radiologists in the differentiation of cancer from noncancer at dynamic contrast material-enhanced (DCE) breast MRI is improved when using an AI system compared with conventionally available software. Materials and Methods In a retrospective clinical reader study, images from breast DCE MRI examinations were interpreted by 19 breast imaging radiologists from eight academic and 11 private practices. Readers interpreted each examination twice. In the ""first read,"" they were provided with conventionally available computer-aided evaluation software, including kinetic maps. In the ""second read,"" they were also provided with AI analytics through computer-aided diagnosis software. Reader diagnostic performance was evaluated with receiver operating characteristic (ROC) analysis, with the area under the ROC curve (AUC) as a figure of merit in the task of distinguishing between malignant and benign lesions. The primary study end point was the difference in AUC between the first-read and the second-read conditions. Results One hundred eleven women (mean age, 52 years ± 13 [standard deviation]) were evaluated with a total of 111 breast DCE MRI examinations (54 malignant and 57 nonmalignant lesions). The average AUC of all readers improved from 0.71 to 0.76 (P = .04) when using the AI system. The average sensitivity improved when Breast Imaging Reporting and Data System (BI-RADS) category 3 was used as the cut point (from 90% to 94%; 95% confidence interval [CI] for the change: 0.8%, 7.4%) but not when using BI-RADS category 4a (from 80% to 85%; 95% CI: -0.9%, 11%). The average specificity showed no difference when using either BI-RADS category 4a or category 3 as the cut point (52% and 52% [95% CI: -7.3%, 6.0%], and from 29% to 28% [95% CI: -6.4%, 4.3%], respectively). Conclusion Use of an artificial intelligence system improves radiologists' performance in the task of differentiating benign and malignant MRI breast lesions.",33078996
"Pain management in hidradenitis suppurativa and a proposed treatment algorithm.. Pain contributes substantially to reduced quality of life in individuals living with hidradenitis suppurativa (HS). Although improved understanding of HS pathogenesis and treatment has resulted in improved evidence-based HS management guidelines, comprehensive pain management guidelines have yet to be developed. Little HS-specific data exist to guide pharmacologic analgesia, however, recognizing HS pain as either acute or chronic and predominantly nociceptive (aching and gnawing pain due to tissue damage) versus neuropathic (burning type pain due to somatosensory nervous system dysfunction) provides a conceptual framework for applying outside pain management practices to HS management. This manuscript incorporates the best available evidence from the HS and pain literature to propose an HS pain algorithm that integrates psychological, pharmacological, and complementary and alternative treatment modalities. Keywords: Hidradenitis suppurativa; acute pain; chronic pain; neuropathic; nociceptive; pain management; treatment.",32950543
"If deep learning is the answer, what is the question?. Neuroscience research is undergoing a minor revolution. Recent advances in machine learning and artificial intelligence research have opened up new ways of thinking about neural computation. Many researchers are excited by the possibility that deep neural networks may offer theories of perception, cognition and action for biological brains. This approach has the potential to radically reshape our approach to understanding neural systems, because the computations performed by deep networks are learned from experience, and not endowed by the researcher. If so, how can neuroscientists use deep networks to model and understand biological brains? What is the outlook for neuroscientists who seek to characterize computations or neural codes, or who wish to understand perception, attention, memory and executive functions? In this Perspective, our goal is to offer a road map for systems neuroscience research in the age of deep learning. We discuss the conceptual and methodological challenges of comparing behaviour, learning dynamics and neural representations in artificial and biological systems, and we highlight new research questions that have emerged for neuroscience as a direct consequence of recent advances in machine learning.",33199854
The Emerging Role of Artificial Intelligence in the Fight Against COVID-19.. The coronavirus disease 2019 (COVID-19) pandemic has generated large volumes of clinical data that can be an invaluable resource towards answering a number of important questions for this and future pandemics. Artificial intelligence can have an important role in analysing such data to identify populations at higher risk of COVID-19-related urological pathologies and to suggest treatments that block viral entry into cells by interrupting the angiotensin-converting enzyme 2-transmembrane serine protease 2 (ACE2-TMPRSS2) pathway.,32994064
"Diagnostic Algorithm to Differentiate Benign Atypical Leiomyomas from Malignant Uterine Sarcomas with Diffusion-weighted MRI.. Background Improving the differentiation of uterine sarcomas from atypical leiomyomas remains a clinical challenge and is needed to avoid inappropriate surgery. Purpose To develop a diagnostic algorithm including diffusion-weighted MRI criteria to differentiate malignant uterine sarcomas from benign atypical leiomyomas. Materials and Methods This case-control retrospective study identified women with an atypical uterine mass at MRI between January 2000 and April 2017, with surgery or MRI follow-up after 1 year or longer. A diagnostic algorithm including T2-weighted MRI and diffusion-weighted imaging (DWI) signal and apparent diffusion coefficient (ADC) values was developed to predict for sarcoma. The training set consisted of 51 sarcomas and 105 leiomyomas. Two external validation sets were used to evaluate interreader reproducibility (16 sarcomas; 26 leiomyomas) and impact of reader experience (29 sarcomas; 30 leiomyomas). Wilson confidence intervals (CIs) were calculated for sensitivity and specificity. Results Evaluated were 156 women (median age, 50 years; interquartile range, 44–63 years). Predictive MRI criteria for malignancy were enlarged lymph nodes or peritoneal implants, high DWI signal greater than that in endometrium, and ADC less than or equal to 0.905 × 10−3 mm2/sec. Conversely, a global or focal area of low T2 signal intensity and a low or an intermediate DWI signal less than that in endometrium or lymph nodes allowed readers to confidently diagnose as benign a uterine mass demonstrating one or more of these signs (P < .001) in 100% cases in all three data sets. The sensitivities and specificities of the algorithm for diagnosis of malignancy were 98% (50 of 51 masses; 95% CI: 90%, 100%) and 94% (99 of 105 masses; 95% CI: 88%, 98%) in the training set; 88% (14 of 16 masses; 95% CI: 64%, 97%) and 100% (26 of 26 masses; 95% CI: 87%, 100%) in the validation set; and 83% (24 of 29 masses; 95% CI: 65%, 92%) and 97% (29 of 30 masses; 95% CI: 83%, 99%) for the less experienced reader, respectively. Conclusion A diagnostic algorithm with predictive features including lymphadenopathy, high diffusion-weighted imaging signal with reference to endometrium, and low apparent diffusion coefficient enabled differentiation of malignant sarcomas from atypical leiomyomas, and it may assist inexperienced readers",32930650
"ELNet:Automatic classification and segmentation for esophageal lesions using convolutional neural network.. Automatic and accurate esophageal lesion classification and segmentation is of great significance to clinically estimate the lesion statuses of the esophageal diseases and make suitable diagnostic schemes. Due to individual variations and visual similarities of lesions in shapes, colors, and textures, current clinical methods remain subject to potential high-risk and time-consumption issues. In this paper, we propose an Esophageal Lesion Network (ELNet) for automatic esophageal lesion classification and segmentation using deep convolutional neural networks (DCNNs). The underlying method automatically integrates dual-view contextual lesion information to extract global features and local features for esophageal lesion classification and lesion-specific segmentation network is proposed for automatic esophageal lesion annotation at pixel level. For the established clinical large-scale database of 1051 white-light endoscopic images, ten-fold cross-validation is used in method validation. Experiment results show that the proposed framework achieves classification with sensitivity of 0.9034, specificity of 0.9718, and accuracy of 0.9628, and the segmentation with sensitivity of 0.8018, specificity of 0.9655, and accuracy of 0.9462. All of these indicate that our method enables an efficient, accurate, and reliable esophageal lesion diagnosis in clinics.",33129148
"Insulin dose optimization using an automated artificial intelligence-based decision support system in youths with type 1 diabetes.. Despite the increasing adoption of insulin pumps and continuous glucose monitoring devices, most people with type 1 diabetes do not achieve their glycemic goals1. This could be related to a lack of expertise or inadequate time for clinicians to analyze complex sensor-augmented pump data. We tested whether frequent insulin dose adjustments guided by an automated artificial intelligence-based decision support system (AI-DSS) is as effective and safe as those guided by physicians in controlling glucose levels. ADVICE4U was a six-month, multicenter, multinational, parallel, randomized controlled, non-inferiority trial in 108 participants with type 1 diabetes, aged 10-21 years and using insulin pump therapy (ClinicalTrials.gov no. NCT03003806). Participants were randomized 1:1 to receive remote insulin dose adjustment every three weeks guided by either an AI-DSS, (AI-DSS arm, n = 54) or by physicians (physician arm, n = 54). The results for the primary efficacy measure-the percentage of time spent within the target glucose range (70-180 mg dl-1 (3.9-10.0 mmol l-1))-in the AI-DSS arm were statistically non-inferior to those in the physician arm (50.2 ± 11.1% versus 51.6 ± 11.3%, respectively, P < 1 × 10-7). The percentage of readings below 54 mg dl-1 (<3.0 mmol l-1) within the AI-DSS arm was statistically non-inferior to that in the physician arm (1.3 ± 1.4% versus 1.0 ± 0.9%, respectively, P < 0.0001). Three severe adverse events related to diabetes (two severe hypoglycemia, one diabetic ketoacidosis) were reported in the physician arm and none in the AI-DSS arm. In conclusion, use of an automated decision support tool for optimizing insulin pump settings was non-inferior to intensive insulin titration provided by physicians from specialized academic diabetes centers.",32908282
"Artificial Intelligence in Low- and Middle-Income Countries: Innovating Global Health Radiology.. Scarce or absent radiology resources impede adoption of artificial intelligence (AI) for medical imaging by resource-poor health institutions. They face limitations in local equipment, personnel expertise, infrastructure, data-rights frameworks, and public policies. The trustworthiness of AI for medical decision making in global health and low-resource settings is hampered by insufficient data diversity, nontransparent AI algorithms, and resource-poor health institutions' limited participation in AI production and validation. RAD-AID's three-pronged integrated strategy for AI adoption in resource-poor health institutions is presented, which includes clinical radiology education, infrastructure implementation, and phased AI introduction. This strategy derives from RAD-AID's more-than-a-decade experience as a nonprofit organization developing radiology in resource-poor health institutions, both in the United States and in low- and middle-income countries. The three components synergistically provide the foundation to address health care disparities. Local radiology personnel expertise is augmented through comprehensive education. Software, hardware, and radiologic and networking infrastructure enables radiology workflows incorporating AI. These educational and infrastructure developments occur while RAD-AID delivers phased introduction, testing, and scaling of AI via global health collaborations.",33021895
